Year,Process,Total_Workload_Min,Workload_per_Center_Min,Equipment_per_Center,Total_Equipment,Utilization_per_Center,Capacity_per_Equipment
3,A,64350.0,12870.0,4,20,0.7599914965986394,4233.6
3,B,214325.0,42865.0,11,55,0.9204502508073935,4233.6
3,C,59025.0,11805.0,3,15,0.9294690098261525,4233.6
3,D,312150.0,62430.0,15,75,0.9830876795162509,4233.6
3,E,175875.0,35175.0,9,45,0.9231701940035273,4233.6
3,F,168825.0,33765.0,8,40,0.9969352324263038,4233.6
3,G,67350.0,13470.0,4,20,0.7954223356009069,4233.6
3,H,220175.0,44035.0,11,55,0.9455739366453652,4233.6
3,I,221400.0,44280.0,11,55,0.9508348794063078,4233.6
3,J,370100.0,74020.0,18,90,0.9713298899806836,4233.6
3,K,50700.0,10140.0,3,15,0.7983749055177626,4233.6
3,L,225600.0,45120.0,11,55,0.9688723974438259,4233.6
3,M,357850.0,71570.0,17,85,0.9944255479969764,4233.6
