Year,Process,Total_Workload_Min,Workload_per_Center_Min,Equipment_per_Center,Total_Equipment,Utilization_per_Center,Capacity_per_Equipment
4,A,66625.0,16656.25,4,16,0.983574853552532,4233.6
4,B,231475.0,57868.75,14,56,0.9763516021487959,4233.6
4,C,64150.0,16037.5,4,16,0.9470368008314436,4233.6
4,D,335750.0,83937.5,20,80,0.9913253495842782,4233.6
4,E,198475.0,49618.75,12,48,0.9766855237465356,4233.6
4,F,181375.0,45343.75,11,44,0.9736770339448909,4233.6
4,G,75275.0,18818.75,5,20,0.8890188019652305,4233.6
4,H,238850.0,59712.5,15,60,0.9402950995212899,4233.6
4,I,247225.0,61806.25,15,60,0.9732654635928444,4233.6
4,J,405375.0,101343.75,24,96,0.9974150250377928,4233.6
4,K,55350.0,13837.5,4,16,0.8171237244897959,4233.6
4,L,244825.0,61206.25,15,60,0.9638172398589064,4233.6
4,M,386975.0,96743.75,23,92,0.9935397770219199,4233.6
