Year,Process,Total_Workload_Min,Workload_per_Center_Min,Equipment_per_Center,Total_Equipment,Utilization_per_Center,Base_Capacity_per_Equipment
2,A,62075.0,15518.75,4,16,0.9164,4233.6
2,B,197175.0,49293.75,12,48,0.9703,4233.6
2,C,53900.0,13475.0,4,16,0.7957,4233.6
2,D,288550.0,72137.5,18,72,0.9466,4233.6
2,E,153275.0,38318.75,10,40,0.9051,4233.6
2,F,156275.0,39068.75,10,40,0.9228,4233.6
2,G,59425.0,14856.25,4,16,0.8773,4233.6
2,H,201500.0,50375.0,12,48,0.9916,4233.6
2,I,195575.0,48893.75,12,48,0.9624,4233.6
2,J,334825.0,83706.25,20,80,0.9886,4233.6
2,K,46050.0,11512.5,3,12,0.9064,4233.6
2,L,206375.0,51593.75,13,52,0.9374,4233.6
2,M,328725.0,82181.25,20,80,0.9706,4233.6
2,TOTAL,2283725.0,570931.25,142,568,0.9497,4233.6
